millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
1544,*,*,*,*,*,*,4.40,*,*,*,*,*,*,*,19.31,93891.82,638.10,42.74,
2546,2000,0,0,0,0,0,4.37,0,99.99,*,*,*,*,*,19.36,93894.09,637.90,43.11,
3547,2000,0,0,0,0,0,4.40,0,99.99,*,*,*,*,*,19.38,93892.00,638.09,42.69,
4550,2000,0,0,0,0,0,4.40,0,99.99,*,*,*,*,*,19.39,93899.64,637.41,42.37,
5551,2000,0,0,0,0,0,4.40,0,99.99,*,*,*,*,*,19.41,93896.39,637.70,42.41,
6555,2000,0,0,0,0,0,4.37,0,99.99,*,*,*,*,*,19.42,93897.97,637.56,42.45,
7557,2000,0,0,0,0,0,4.37,0,99.99,*,*,*,*,*,19.43,93894.27,637.88,42.46,
8560,2000,0,0,0,0,0,4.37,0,99.99,*,*,*,*,*,19.44,93896.25,637.71,42.51,
9563,2000,0,0,17,26,5,4.37,0,99.99,*,*,*,*,*,19.45,93899.17,637.45,42.82,
10567,2000,0,0,17,26,6,4.40,0,99.99,*,*,*,*,*,19.46,93894.17,637.90,43.24,
11569,2000,0,0,17,26,7,4.40,0,99.99,*,*,*,*,*,19.47,93893.11,637.99,43.19,
12570,2000,0,0,17,26,8,4.37,0,99.99,*,*,*,*,*,19.48,93894.69,637.85,43.29,
13574,2000,0,0,17,26,9,4.37,0,99.99,*,*,*,*,*,19.49,93894.07,637.90,43.57,
14579,2000,0,0,17,26,10,4.37,0,99.99,*,*,*,*,*,19.50,93896.57,637.68,43.71,
15583,2000,0,0,17,26,11,4.40,0,99.99,*,*,*,*,*,19.51,93897.22,637.62,43.63,
16585,2000,0,0,17,26,12,4.40,0,99.99,*,*,*,*,*,19.52,93895.80,637.75,43.65,
17589,2000,0,0,17,26,13,4.40,0,99.99,*,*,*,*,*,19.53,93896.99,637.64,43.79,
18590,2000,0,0,17,26,14,4.55,0,99.99,*,*,*,*,*,19.54,93896.72,637.67,43.26,
19591,2000,0,0,17,26,15,4.43,0,99.99,*,*,*,*,*,19.54,93895.41,637.78,42.84,
20593,2000,0,0,17,26,16,4.37,0,99.99,*,*,*,*,*,19.56,93893.03,638.00,42.62,
21594,2021,9,25,17,26,17,4.40,0,99.99,*,*,*,*,*,19.56,93893.46,637.96,42.33,
22598,2021,9,25,17,26,18,4.40,0,99.99,*,*,*,*,*,19.56,93896.89,637.65,42.08,
23600,2021,9,25,17,26,19,4.37,0,99.99,*,*,*,*,*,19.58,93898.86,637.48,41.96,
24604,2021,9,25,17,26,20,4.40,0,99.99,*,*,*,*,*,19.59,93894.25,637.89,42.06,
25607,2021,9,25,17,26,21,4.40,0,99.99,*,*,*,*,*,19.59,93891.08,638.17,42.25,
26611,2021,9,25,17,26,22,4.37,0,99.99,*,*,*,*,*,19.60,93893.22,637.98,42.41,
27614,2021,9,25,17,26,23,4.37,0,99.99,*,*,*,*,*,19.61,93890.46,638.22,42.27,
28618,2021,9,25,17,26,24,4.37,0,99.99,*,*,*,*,*,19.61,93894.27,637.88,42.37,
29621,2021,9,25,17,26,25,4.37,0,99.99,*,*,*,*,*,19.62,93892.46,638.05,42.32,
